gay/lesbian,gender,prej1,prej2,prej3,prej4,prej5,prej6,prej7,prej8,prej9,prej10,age,maritalstatus,religion,socialstatus,sexuality,sexualinvo,attraction,prejtotal
1,0,1,1,1,1,1,1,1,1,1,1,18,1,4,2,2,1,7,1
0,1,1,1,1,1,1,1,1,1,1,1,35,1,4,3,3,1,,1
0,0,1,1,1,1,1,1,1,1,1,1,20,1,3,3,3,1,7,1
0,0,1,1,1,1,1,1,1,1,1,1,24,2,1,2,3,1,7,1
0,0,1,1,1,1,1,1,1,1,1,1,35,2,3,3,3,1,,1
0,0,1,1,1,1,1,1,1,1,1,1,23,1,4,2,3,2,7,1
0,0,1,1,2,1,1,1,1,1,1,1,18,1,4,2,3,1,6,1
0,0,1,1,1,1,1,1,1,1,1,1,17,1,4,4,3,1,6,1
0,0,1,1,1,1,1,1,1,1,1,1,18,1,4,2,3,1,7,1
0,0,1,1,1,2,1,1,1,1,1,1,17,1,1,3,3,1,,1
0,1,1,1,1,1,4,1,1,1,1,1,19,1,4,3,3,1,,1
0,0,3,3,3,3,3,3,3,3,3,3,22,1,4,3,3,1,,3
0,1,1,1,1,1,1,1,1,1,1,1,25,4,4,2,3,1,7,1
0,0,1,1,1,1,1,1,1,1,1,1,22,1,4,1,3,1,7,1
0,0,1,1,1,1,1,1,1,1,1,1,24,1,1,2,3,1,7,1
0,0,1,1,1,1,1,1,1,1,1,1,19,1,5,2,3,2,6,1
1,1,1,1,1,1,1,1,1,1,1,1,22,1,4,3,3,1,7,1
1,0,1,1,1,1,1,1,1,1,1,1,24,1,1,2,3,1,6,1
1,1,1,1,1,1,1,1,1,1,1,1,19,1,2,2,3,1,,1
1,0,2,1,1,1,1,1,1,1,1,1,21,1,4,1,3,2,7,1
1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,4,3,1,7,1
1,0,3,3,3,3,3,3,3,3,3,3,18,1,4,2,3,1,7,3
1,0,1,1,1,1,1,1,1,1,1,1,24,1,4,3,3,2,6,1
1,0,1,1,1,1,1,1,1,1,1,1,19,1,1,4,3,1,7,1
1,1,3,2,3,3,3,3,3,3,3,3,44,4,1,3,3,1,,3
1,0,1,1,1,1,1,1,1,1,1,1,18,1,1,3,3,2,7,1
1,1,1,1,1,1,1,1,1,1,1,1,17,4,4,2,3,1,7,1
1,1,1,1,1,1,1,1,1,1,1,1,23,1,4,2,3,1,,1
0,0,3,3,3,3,1,3,3,3,3,3,19,1,2,2,4,2,,3
0,0,1,1,1,1,1,1,1,1,1,1,19,1,1,2,4,2,6,1
0,1,3,3,3,3,3,3,3,3,3,2,23,1,4,4,4,2,6,3
1,0,1,1,1,1,2,1,1,1,1,1,23,1,1,3,4,2,1,1
